"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1064143084794011654","","","2018-11-18 13:07:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @juralumin_: 2080ti https://t.co/w6sVSiCMyy","1064097399533035520","3901811237","2018-11-18 10:06:04 +0000","https://twitter.com/juralumin_/status/1064097399533035520/photo/1,https://twitter.com/juralumin_/status/1064097399533035520/photo/1"
"1064109002060001281","","","2018-11-18 10:52:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","４Kモニターを衝動買いしてしまった","","","",""
"1064089915577647104","","","2018-11-18 09:36:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @news_lose: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるようになり…","1064082185097859072","826149872701104128","2018-11-18 09:05:37 +0000","https://maitetsucs.com,https://twitter.com/news_lose/status/1064082185097859072/photo/1"
"1064068639739924480","","","2018-11-18 08:11:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @maitetsu_ps: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるように…","1064066077301268480","955634114115223552","2018-11-18 08:01:36 +0000","https://maitetsucs.com,https://twitter.com/maitetsu_ps/status/1064066077301268480/photo/1"
"1064068198020997120","","","2018-11-18 08:10:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ponta_salesio: 自分に彼女ができないのを不思議に思う人は、下のチェックシート試して見てください。

ロ高専生である

ロ高専生である

ロ高専生である

ロ女子より男子に興味がある

3つ以上チェックがついたあなたは一生彼女ができません。","1063831293278982145","1365749052","2018-11-17 16:28:40 +0000",""
"1064030574409474049","1063977743920971776","822178702997921792","2018-11-18 05:40:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@terfno_mai ヒントください","","","",""
"1063868877627478017","","","2018-11-17 18:58:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @tfvesp: おねみみ。 https://t.co/G7bZrJR7JV","1063848843974860800","2942171587","2018-11-17 17:38:24 +0000","https://twitter.com/tfvesp/status/1063848843974860800/photo/1,https://twitter.com/tfvesp/status/1063848843974860800/photo/1,https://twitter.com/tfvesp/status/1063848843974860800/photo/1,https://twitter.com/tfvesp/status/1063848843974860800/photo/1"
"1063866595288612864","1063841817416818688","916639101478084611","2018-11-17 18:48:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Musashi0930GAME 素晴らしい","","","",""
"1063801923466227713","","","2018-11-17 14:31:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @1st_PLACE0302: 衝撃的かわいさ…！

#おねがいダーリン
#OИEgai_Darling
https://t.co/EF6hNHHTOJ https://t.co/diW6a7yHki","1063762445917802497","397855417","2018-11-17 11:55:05 +0000","https://twitter.com/KaminariAi/status/1063733548413214721,https://twitter.com/1st_PLACE0302/status/1063762445917802497/photo/1,https://twitter.com/KaminariAi/status/1063733548413214721,https://twitter.com/1st_PLACE0302/status/1063762445917802497/photo/1"
"1063798405573435393","","","2018-11-17 14:17:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @news_lose: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるようになり…","1063742651340451840","826149872701104128","2018-11-17 10:36:26 +0000","https://maitetsucs.com,https://twitter.com/news_lose/status/1063742651340451840/photo/1"
